Country Name,Country Code,Parameters,Year,Value,Country Group
Russian Federation,RUS,Current account balance (% of GDP),1999,11.67,BRICS
Russian Federation,RUS,Current account balance (% of GDP),2000,17.47,BRICS
Russian Federation,RUS,Current account balance (% of GDP),2001,10.45,BRICS
Russian Federation,RUS,Current account balance (% of GDP),2004,9.91,BRICS
Russian Federation,RUS,Current account balance (% of GDP),2005,11.05,BRICS
Russian Federation,RUS,Current account balance (% of GDP),2006,9.33,BRICS
China,CHN,Current account balance (% of GDP),2007,9.95,BRICS
Russian Federation,RUS,Current account balance (% of GDP),2022,10.49,BRICS
South Africa,ZAF,"Foreign direct investment, net outflows (% of GDP)",2001,-2.6,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2006,3.03,BRICS
Brazil,BRA,"Foreign direct investment, net outflows (% of GDP)",2006,2.6,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2007,3.45,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2008,3.35,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2009,3.54,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2010,3.45,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2011,3.27,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2013,3.77,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2014,2.77,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",2021,3.57,BRICS
Russian Federation,RUS,GDP per capita growth (annual %),1992,-14.61,BRICS
Russian Federation,RUS,GDP per capita growth (annual %),1993,-8.62,BRICS
Russian Federation,RUS,GDP per capita growth (annual %),1994,-12.54,BRICS
Russian Federation,RUS,GDP per capita growth (annual %),2009,-7.83,BRICS
Russian Federation,RUS,Imports of goods and services (% of GDP),1992,48.25,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1972,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1972,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1973,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1973,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1974,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1974,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1975,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1975,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1976,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1976,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1977,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1977,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1978,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1978,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1979,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1979,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1980,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1980,280.27,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1981,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1981,101.73,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1982,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1982,100.54,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1983,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1983,135.03,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1984,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1984,192.12,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1985,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1985,225.99,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1986,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1986,147.14,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1987,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1987,228.34,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1988,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1988,629.11,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1989,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1989,1430.72,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1990,61.16,BRICS
Brazil,BRA,"Inflation, consumer prices (annual %)",1990,2947.73,BRICS
Russian Federation,RUS,"Inflation, consumer prices (annual %)",1991,61.16,BRICS
