Country Name,Country Code,Parameters,Year,Value,Country Group
India,IND,Current account balance (% of GDP),1972,-1.13,BRICS
Russian Federation,RUS,Current account balance (% of GDP),1972,5.66,BRICS
China,CHN,Current account balance (% of GDP),1972,2.15,BRICS
South Africa,ZAF,Current account balance (% of GDP),1972,-0.78,BRICS
Brazil,BRA,Current account balance (% of GDP),1972,-1.95,BRICS
United States,USA,Current account balance (% of GDP),1972,-0.41,G7
United Kingdom,GBR,Current account balance (% of GDP),1972,0.31,G7
Italy,ITA,Current account balance (% of GDP),1972,1.36,G7
Canada,CAN,Current account balance (% of GDP),1972,-2.12,G7
Japan,JPN,Current account balance (% of GDP),1972,2.81,G7
France,FRA,Current account balance (% of GDP),1972,-0.01,G7
Germany,DEU,Current account balance (% of GDP),1972,0.11,G7
India,IND,"Fertility rate, total (births per woman)",1972,5.48,BRICS
Russian Federation,RUS,"Fertility rate, total (births per woman)",1972,2.04,BRICS
China,CHN,"Fertility rate, total (births per woman)",1972,5.11,BRICS
South Africa,ZAF,"Fertility rate, total (births per woman)",1972,5.49,BRICS
Brazil,BRA,"Fertility rate, total (births per woman)",1972,4.75,BRICS
United States,USA,"Fertility rate, total (births per woman)",1972,2.01,G7
United Kingdom,GBR,"Fertility rate, total (births per woman)",1972,2.2,G7
Italy,ITA,"Fertility rate, total (births per woman)",1972,2.35,G7
Canada,CAN,"Fertility rate, total (births per woman)",1972,1.98,G7
Japan,JPN,"Fertility rate, total (births per woman)",1972,2.14,G7
France,FRA,"Fertility rate, total (births per woman)",1972,2.38,G7
Germany,DEU,"Fertility rate, total (births per woman)",1972,1.71,G7
India,IND,"Foreign direct investment, net inflows (% of GDP)",1972,0.02,BRICS
Russian Federation,RUS,"Foreign direct investment, net inflows (% of GDP)",1972,1.65,BRICS
China,CHN,"Foreign direct investment, net inflows (% of GDP)",1972,2.52,BRICS
South Africa,ZAF,"Foreign direct investment, net inflows (% of GDP)",1972,0.47,BRICS
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",1972,2.63,BRICS
United States,USA,"Foreign direct investment, net inflows (% of GDP)",1972,0.1,G7
United Kingdom,GBR,"Foreign direct investment, net inflows (% of GDP)",1972,0.71,G7
Italy,ITA,"Foreign direct investment, net inflows (% of GDP)",1972,0.46,G7
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",1972,1.86,G7
Japan,JPN,"Foreign direct investment, net inflows (% of GDP)",1972,0.05,G7
France,FRA,"Foreign direct investment, net inflows (% of GDP)",1972,0.32,G7
Germany,DEU,"Foreign direct investment, net inflows (% of GDP)",1972,0.63,G7
India,IND,"Foreign direct investment, net outflows (% of GDP)",1972,0.28,BRICS
Russian Federation,RUS,"Foreign direct investment, net outflows (% of GDP)",1972,1.76,BRICS
China,CHN,"Foreign direct investment, net outflows (% of GDP)",1972,0.63,BRICS
South Africa,ZAF,"Foreign direct investment, net outflows (% of GDP)",1972,0.08,BRICS
Brazil,BRA,"Foreign direct investment, net outflows (% of GDP)",1972,0.55,BRICS
United States,USA,"Foreign direct investment, net outflows (% of GDP)",1972,0.57,G7
United Kingdom,GBR,"Foreign direct investment, net outflows (% of GDP)",1972,1.19,G7
Italy,ITA,"Foreign direct investment, net outflows (% of GDP)",1972,0.15,G7
Canada,CAN,"Foreign direct investment, net outflows (% of GDP)",1972,0.07,G7
Japan,JPN,"Foreign direct investment, net outflows (% of GDP)",1972,0.22,G7
France,FRA,"Foreign direct investment, net outflows (% of GDP)",1972,0.27,G7
Germany,DEU,"Foreign direct investment, net outflows (% of GDP)",1972,0.6,G7
India,IND,GDP (current US$),1972,71464700667.0,BRICS
Russian Federation,RUS,GDP (current US$),1972,1034400000000.0,BRICS
China,CHN,GDP (current US$),1972,114000000000.0,BRICS
South Africa,ZAF,GDP (current US$),1972,24515919217.0,BRICS
Brazil,BRA,GDP (current US$),1972,1260147058823.53,BRICS
United States,USA,GDP (current US$),1972,1280000000000.0,G7
United Kingdom,GBR,GDP (current US$),1972,170000000000.0,G7
Italy,ITA,GDP (current US$),1972,145000000000.0,G7
Canada,CAN,GDP (current US$),1972,113000000000.0,G7
Japan,JPN,GDP (current US$),1972,325000000000.0,G7
France,FRA,GDP (current US$),1972,203000000000.0,G7
Germany,DEU,GDP (current US$),1972,300000000000.0,G7
India,IND,GDP growth (annual %),1972,-0.55,BRICS
Russian Federation,RUS,GDP growth (annual %),1972,0.81,BRICS
China,CHN,GDP growth (annual %),1972,3.81,BRICS
